	企業名	企業名2	業種	採用日	上場市場
AAPL	Apple Inc.	Apple	コンピュータ	2015年3月19日	NASDAQ
AMGN	Amgen Inc.	アムジェン	医薬品	2020年8月31日	NASDAQ
AXP	American Express Co.	アメリカン・エキスプレス	金融	1982年8月30日	NYSE
BA	Boeing Co.	ボーイング	航空機	1987年3月12日	NYSE
CAT	Caterpillar Inc.	キャタピラー	重機	1991年5月6日	NYSE
CRM	Salesforce.com, Inc.	セールスフォース・ドットコム	ソフトウェア	2020年8月31日	NYSE
CSCO	Cisco Systems, Inc.	シスコシステムズ	情報・通信業	2009年6月8日	NASDAQ
CVX	Chevron Corp.	シェブロン	石油	2008年2月19日	NYSE
DIS	The Walt Disney Co.	ウォルト・ディズニー・カンパニー	娯楽・メディア	1991年5月6日	NYSE
DOW	Dow, Inc.	ダウ	化学	2019年4月2日	NYSE
GS	Goldman Sachs	ゴールドマン・サックス	金融	2013年9月20日	NYSE
HD	The Home Depot Inc.	ホームデポ	小売業	1999年11月1日	NYSE
HON	Honeywell International Inc.	ハネウェル・インターナショナル	機械・精密機器	2020年8月31日	NASDAQ
IBM	International Business Machines Corp.	アイ・ビー・エム	コンピューター	1979年6月29日	NYSE
INTC	Intel Corp.	インテル	半導体	1999年11月1日	NASDAQ
JNJ	Johnson & Johnson Inc.	ジョンソン・エンド・ジョンソン	医薬品	1997年3月17日	NYSE
JPM	JPMorgan Chase and Co.	JPモルガン・チェース	金融	1991年5月6日	NYSE
KO	The Coca-Cola Co.	ザ コカ・コーラ カンパニー	飲料	1987年3月12日	NYSE
MCD	McDonald's Corp.	マクドナルド	外食	1985年10月30日	NYSE
MMM	3M Company	スリーエム	化学	1976年8月9日	NYSE
MRK	Merck & Co.	メルク	医薬品	1979年6月29日	NYSE
MSFT	Microsoft Corp.	マイクロソフト	ソフトウェア	1999年11月1日	NASDAQ
NKE	Nike, Inc.	ナイキ	その他製品	2013年9月20日	NYSE
PG	Procter & Gamble Co.	プロクター・アンド・ギャンブル (P&G)	日用品	1932年5月26日	NYSE
TRV	The Travelers Companies,Inc.	トラベラーズ	保険	2009年6月8日	NYSE
UNH	UnitedHealth Group Inc.	ユナイテッド・ヘルス	保険	2012年9月21日	NYSE
V	Visa	ビザ	その他金融	2013年9月20日	NYSE
VZ	Verizon Communications Inc.	ベライゾン・コミュニケーションズ	通信	2004年4月8日	NYSE
WBA	Walgreens Boots Alliance, Inc.	ウォルグリーン・ブーツ・アライアンス	小売業	2018年6月26日	NASDAQ
WMT	Wal-Mart Stores Inc.	ウォルマート・ストアーズ	小売業	1997年3月17日	NYSE
